name;classification;province;longitude;latitude;area_type;ownership;district;sub_district;postal_area;postal_address;street_address
Mpumelelo (Evaton North) Clinic;CLINIC;Gauteng Province;-26,51176;27,85491;URBAN;Facility Owner - Government - Local;Sedibeng District Municipality;Emfuleni Local Municipality;Evaton North;1836 Rabotapi Street Evaton North;1836 Rabotapi Street Evaton North
Soshanguve 2 Clinic;CLINIC;Gauteng Province;-25,51308;28,1142;URBAN;Facility Owner - Government - Prov;City of Tshwane Metropolitan Municipality;Tshwane 1 Health sub-District;SOSHANGUVE;1850 BLOCK G;1850 BLOCK G, SOSHANGUVE
Laudium Clinic;CLINIC;Gauteng Province;-25,78768;28,10701;URBAN;Facility Owner - Government - Local;City of Tshwane Metropolitan Municipality;Tshwane 4 Health sub-District;Laudium;186 6th Avenue;
Payneville Clinic;CLINIC;Gauteng Province;-26,23282;28,45711;URBAN;Facility Owner - Government - Local;Ekurhuleni Metropolitan Municipality;Ekurhuleni East 2 Health sub-District;Payneville;1868 Chikane Street;1868 Chikane Street
Ginsberg Clinic;CLINIC;Eastern Cape Province;-32,892174;27,385266;RURAL;Facility Owner - Government - Local;Buffalo City Metropolitan Municipality;Buffalo City Health sub-District;King Williams Town;1888 Gqaliwe;1888 Gqaliwe
Leondale Clinic;CLINIC;Gauteng Province;-26,30198;28,18256;URBAN;Facility Owner - Government - Local;Ekurhuleni Metropolitan Municipality;Ekurhuleni South 2 Health sub-District;Germiston;19 Nerine Road,Leondale;
Dr Ramirez Martinez Clinic;CLINIC;Gauteng Province;-26,07464;27,75266;URBAN;Facility Owner - Government - Prov;West Rand District Municipality;Mogale City Local Municipality;Mogale City;1901 Gopane street;
Jazzman Mokhothu Clinic;CLINIC;Free State Province;-29,25728;26,7139;RURAL;Facility Owner - Government - Local;Mangaung Metropolitan Municipality;Botshabelo Health sub-District;Botshabelo;1913 E Section;1913 E Section
Senaoane Clinic;CLINIC;Gauteng Province;-26,273834;27,864938;URBAN;Facility Owner - Government - Local;City of Johannesburg Metropolitan;Johannesburg D Health sub-District;Soweto;1928 Komati street;
Driefontein Old Stands Clinic;CLINIC;Mpumalanga Province;-26,981646;30,452342;RURAL;Facility Owner - Government - Local;Gert Sibande District Municipality;Mkhondo Local Municipality;Driefontein;195 Old Stands, Driefontein;
Holani Clinic;CLINIC;Gauteng Province;-25,70436;28,37559;URBAN;Facility Owner - Government - Prov;City of Tshwane Metropolitan Municipality;Tshwane 6 Health sub-District;Mamelodi East;19600 Tlou street;19600 Tlou street
Phahameng Clinic;CLINIC;Gauteng Province;-25,7221;28,3926;URBAN;Facility Owner - Government - Local;City of Tshwane Metropolitan Municipality;Tshwane 6 Health sub-District;Pretoria;19619 Hinterland Avenue;
Beverly Hills Clinic;CLINIC;Gauteng Province;-26,54248;27,82381;URBAN;Facility Owner - Government - Local;Sedibeng District Municipality;Emfuleni Local Municipality;Evaton;1971 Hollywood Street;1971 Hollywood Street
Tshepiso Clinic;CLINIC;Gauteng Province;-26,6741;27,86821;URBAN;Facility Owner - Government - Local;Sedibeng District Municipality;Emfuleni Local Municipality;Vanderbijlpark;1986 Phase 2 Tshepiso;1986 Phase 2 Tshepiso
Kgakala Clinic;CLINIC;North West Province;-27,219969;26,262584;RURAL;Facility Owner - Government - Prov;Dr Kenneth Kaunda District Municipality;Maquassi Hills Local Municipality;Kgakolo Location;199 Leboya street;199 Leboya Street
Boipatong CHC;CHC;Gauteng Province;-26,67216;27,84787;URBAN;Facility Owner - Government - Local;Sedibeng District Municipality;Emfuleni Local Municipality;Boipatong;1990 Lekoa Street Boipatong;1990 Lekoa Street Boipatong
New Germany Clinic;CLINIC;KwaZulu-Natal Province;-29,798154;30,875748;URBAN;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;New Germany;2 Coventry Avenue;
Missionvale Clinic;CLINIC;Eastern Cape Province;-33,87666;25,549961;URBAN;Facility Owner - Government - Local;Nelson Mandela Bay Municipality;Nelson Mandela C Health sub-District;Missionvale;2 Tromp Road Missinvale;
Kloof Clinic;CLINIC;KwaZulu-Natal Province;-29,791667;30,832089;URBAN;Facility Owner - Other;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;Kloof;2 Umzwilili road;2 Umzwilili Road
First Avenue Clinic;CLINIC;Gauteng Province;-26,25051;28,444317;URBAN;Facility Owner - Government - Local;Ekurhuleni Metropolitan Municipality;Ekurhuleni East 2 Health sub-District;Springs;20 1st Avenue Clinic Springs;
Edamini Clinic;CLINIC;Eastern Cape Province;-33,832414;25,385955;URBAN;Facility Owner - Government - Prov;Nelson Mandela Bay Municipality;Nelson Mandela B Health sub-District;Kwanobuhle;20 First Avenue Khayelitsha;
Boitumelo Clinic;CLINIC;Gauteng Province;-26,56237;27,82432;URBAN;Facility Owner - Government - Prov;Sedibeng District Municipality;Emfuleni Local Municipality;Boitumelo;2001 Mandela Drive;2001 Mandela Drive
TS Mahloko Clinic;CLINIC;Free State Province;-29,24308;26,71661;RURAL;Facility Owner - Government - Local;Mangaung Metropolitan Municipality;Botshabelo Health sub-District;Botshabelo;2009, Section C;2009 Section C,
Lekkersing Clinic;SATELLITE CLINIC;Northern Cape Province;-29,001286;17,100601;RURAL;Facility Owner - Government - Prov;Namakwa District Municipality;Richtersveld Local Municipality;Lekkersig;201 Cloete Street,;
Broederstroom Clinic;CLINIC;North West Province;-25,793951;27,857026;URBAN;Facility Owner - Government - Local;Bojanala Platinum District Municipality;Madibeng Local Municipality;Garankuwa;2027 Unit 8;Broederstroom next to Angiro chicken farm
Tigane CHC;CHC;North West Province;-26,747016;26,419772;URBAN;Facility Owner - Government - Local;Dr Kenneth Kaunda District Municipality;Matlosana Local Municipality;Hartebeesfontein;204 Motlumi Tigane;204 Motlumi Tigane
Nelson Mandela Clinic;CLINIC;Free State Province;-29,73105;25,94157;RURAL;Facility Owner - Government - Prov;Xhariep District Municipality;Kopanong Local Municipality;EDENBURG;2049 CHABA STREET;
Dr Helga Kuhn Clinic;CLINIC;Gauteng Province;-26,49727;27,83708;URBAN;Facility Owner - Government - Prov;Sedibeng District Municipality;Emfuleni Local Municipality;Palmsprings;2063 Chestnut Street;2063 Chestnut Street
Vosloorus Ext 28 Clinic;CLINIC;Gauteng Province;-26,377715;28,203143;URBAN;Facility Owner - Government - Local;Ekurhuleni Metropolitan Municipality;Ekurhuleni South 1 Health sub-District;Vosloorus;20925 Nyamopondo Street;
KT Motubatse Clinic;CLINIC;Gauteng Province;-25,58392;28,08917;URBAN;Facility Owner - Government - Prov;City of Tshwane Metropolitan Municipality;Tshwane 1 Health sub-District;SOSHANGUVE;20941 EXTENTION 14;20941 EXTENTION 14
Katlehong North Clinic;CLINIC;Gauteng Province;-26,312632;28,155022;URBAN;Facility Owner - Government - Local;Ekurhuleni Metropolitan Municipality;Ekurhuleni South 2 Health sub-District;Germiston;2098 Khotso Street,Katlehong;
Marapyane CHC;CHC;Mpumalanga Province;-25,004942;28,795649;RURAL;Facility Owner - Government - Prov;Nkangala District Municipality;Dr JS Moroka Local Municipality;Skilpadfontein;2176 Rasebidi Section, Siyabuswa;
Itumeleng (Botshabelo) Clinic;CLINIC;Free State Province;-29,2854;26,71965;RURAL;Facility Owner - Government - Prov;Mangaung Metropolitan Municipality;Botshabelo Health sub-District;Botshabelo;2191 M Section;2191 M Section,Botshabelo
Tswelopele Clinic;CLINIC;Gauteng Province;-26,32825;28,19216;URBAN;Facility Owner - Government - Local;Ekurhuleni Metropolitan Municipality;Ekurhuleni South 1 Health sub-District;Vosloorus;22 Lesika Street;
Market Avenue Clinic;CLINIC;Gauteng Province;-26,6737;27,92679;URBAN;Facility Owner - Government - Local;Sedibeng District Municipality;Emfuleni Local Municipality;Vereeniging;22 Market Avenue Vereeniging;22 Market Avenue Vereeniging
Chief Albert Luthuli Clinic;CLINIC;Gauteng Province;-26,158635;28,387513;URBAN;Facility Owner - Government - Local;Ekurhuleni Metropolitan Municipality;Ekurhuleni North 2 Health sub-District;;2202/3 Harry Gwela Street Chief Albert Luhuli Park;
Magalies Clinic;CLINIC;Limpopo Province;-24,561873;29,642551;RURAL;Facility Owner - Government - Prov;Greater Sekhukhune District Municipality;Makhuduthamaga Local Municipality;Magalies;220A Moaroge Street;
Batho Clinic;CLINIC;Free State Province;-29,13897;26,22728;URBAN;Facility Owner - Government - Local;Mangaung Metropolitan Municipality;Bloemfontein Health sub-District;Mangaung;22176 Batho;Fort Harerd
Sizabantu Clinic;CLINIC;Free State Province;-27,266284;27,977631;RURAL;Facility Owner - Government - Prov;Fezile Dabi District Municipality;Ngwathe Local Municipality;PHIRITONA;2263 PHIRIDONA HEILBRON;
Intabazwe Clinic;CLINIC;Free State Province;-28,252575;29,096992;RURAL;Facility Owner - Government - Local;Thabo Mofutsanyane District Municipality;Maluti a Phofung Local Municipality;harrismith;2293 intabazwe;2293 intabazwe
Beatrice Street Clinic;CLINIC;KwaZulu-Natal Province;-29,85175;31,018057;URBAN;Facility Owner - Government - Prov;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;Durban;23 Beatrice Street;
Wolmaransstad Town Clinic;CLINIC;North West Province;-27,20569;25,981582;URBAN;Facility Owner - Government - Prov;Dr Kenneth Kaunda District Municipality;Maquassi Hills Local Municipality;Wolmaransstad;23 Broadbent street;
Ladybrand Clinic;CLINIC;Free State Province;-29,19107;27,45902;RURAL;Facility Owner - Government - Prov;Thabo Mofutsanyane District Municipality;Mantsopa Local Municipality;Ladybrand;23 Joubert Street,Ladybrand;
Bakenpark Clinic;CLINIC;Free State Province;-28,218708;28,334062;RURAL;Facility Owner - Government - Prov;Thabo Mofutsanyane District Municipality;Dihlabeng Local Municipality;Bethlehem;230 medican street bethlehem;230 medican street
Mahwelereng 1 Clinic;CLINIC;Limpopo Province;-24,14738;28,98125;URBAN;Facility Owner - Government - Prov;Waterberg District Municipality;Mogalakwena Local Municipality;mahelereng;2301 zone 1;
Rondebult Clinic;CLINIC;Gauteng Province;-26,311935;28,210595;URBAN;Facility Owner - Government - Prov;Ekurhuleni Metropolitan Municipality;Ekurhuleni South 1 Health sub-District;Germiston;2424 Garlic Street Rondebult;
Masebabatso Clinic;CLINIC;Free State Province;-28,904297;27,882939;RURAL;Facility Owner - Government - Prov;Thabo Mofutsanyane District Municipality;Setsoto Local Municipality;meqheleng;24445 zone 5 meqheleng;
Mountain View Clinic;CLINIC;Gauteng Province;-26,431908;27,861698;URBAN;Facility Owner - Government - Local;City of Johannesburg Metropolitan;Johannesburg G Health sub-District;Mountain View;248/49/50 Mountainview;
Colridge Clinic;CLINIC;North West Province;-26,95015;24,73919;URBAN;Facility Owner - Government - Prov;Dr Ruth Segomotsi Mompati District;Naledi Local Municipality;Vryburg;25 A Skool street, Colridge;25 A Skool street, Colridge
Luckhoff Clinic;CLINIC;Free State Province;-29,749866;24,786245;RURAL;Facility Owner - Government - Prov;Xhariep District Municipality;Letsemeng Local Municipality;Luckhof;25 combrinck;25 combrinck
Vlakfontein Clinic;CLINIC;Gauteng Province;-26,371493;27,876804;URBAN;Facility Owner - Government - Prov;City of Johannesburg Metropolitan;Johannesburg G Health sub-District;Vlakfontein Settlement;252 Motola Street;252 Motola Street
Pule Sefatsa Clinic;CLINIC;Free State Province;-29,26142;26,69123;RURAL;Facility Owner - Government - Local;Mangaung Metropolitan Municipality;Botshabelo Health sub-District;Botshabelo;2550 U Section;
Jabulane Dumane CHC;CHC;Gauteng Province;-26,367295;28,218952;URBAN;Facility Owner - Government - Local;Ekurhuleni Metropolitan Municipality;Ekurhuleni South 1 Health sub-District;Vosloorus;257 Nguze Street Ext 2;
Stanza Bopape II Clinic;CLINIC;Gauteng Province;-25,7144;28,4155;URBAN;Facility Owner - Government - Local;City of Tshwane Metropolitan Municipality;Tshwane 5 Health sub-District;Mamelodi East;25905 Hector Petrson str. Ext 8;
Glen Earle Clinic;CLINIC;KwaZulu-Natal Province;-29,780132;30,979407;URBAN;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;newlands east;260 john dory drive;260 john dory drive
Finetown Clinic;CLINIC;Gauteng Province;-26,414188;27,858217;URBAN;Facility Owner - Government - Local;City of Johannesburg Metropolitan;Johannesburg G Health sub-District;Finetown;2624 Fine Street,Finetown;2624 Fine Street,Finetown
Motsamai Clinic;CLINIC;Gauteng Province;-26,325499;28,162993;URBAN;Facility Owner - Government - Local;Ekurhuleni Metropolitan Municipality;Ekurhuleni South 2 Health sub-District;Motsamai Section Katlehong;265 c/o Sontong and Moagi Street;265 c/o Sontong and Moagi Street
Huhudi CHC;CHC;North West Province;-26,974269;24,739387;RURAL;Facility Owner - Government - Prov;Dr Ruth Segomotsi Mompati District;Naledi Local Municipality;;2659 mosiapoa street, Huhudi;2659 mosiapoa street, Huhudi
Shallcross Clinic;CLINIC;KwaZulu-Natal Province;-29,889258;30,878636;URBAN;Facility Owner - Government - Local;eThekwini Metropolitan Municipality;eThekwini Metropolitan Municipality;Shallcross;265Shallcross road;265 Shallcross road
Northam Clinic;CLINIC;Limpopo Province;-24,95264;27,26433;RURAL;Facility Owner - Government - Prov;Waterberg District Municipality;Thabazimbi Local Municipality;Northam;268 Botha Street, Northam;
Mapule Matsepane Clinic;CLINIC;Northern Cape Province;-28,710247;24,725955;URBAN;Facility Owner - Government - Local;Frances Baard District Municipality;Sol Plaatjie Local Municipality;;27 Dinokwane street;
Green Village Porta Cabin Clinic;CLINIC;Gauteng Province;-26,236903;27,804849;URBAN;Facility Owner - Government - Local;City of Johannesburg Metropolitan;Johannesburg D Health sub-District;Dobsonville;2711 Nice street,Greenvillage;
Tlamelong Clinic;CLINIC;Gauteng Province;-25,51416;28,07147;URBAN;Facility Owner - Government - Prov;City of Tshwane Metropolitan Municipality;Tshwane 1 Health sub-District;MABOPANE;2734 BLOCK B;2734 BLOCK B, MABOPANE
De Beersput Clinic;CLINIC;Mpumalanga Province;-25,049622;28,862495;RURAL;Facility Owner - Government - Prov;Nkangala District Municipality;Dr JS Moroka Local Municipality;;275 De Beersput;
Phomolong Clinic;CLINIC;Gauteng Province;-25,7804;28,0427;URBAN;Facility Owner - Government - Local;City of Tshwane Metropolitan Municipality;Tshwane 3 Health sub-District;SAULSVILLE;275 EIGHTEENTH STREET, MSHENGUVILLE WEST, EXT 07;
Phenduka Clinic;CLINIC;Gauteng Province;-26,339783;28,141876;URBAN;Facility Owner - Government - Local;Ekurhuleni Metropolitan Municipality;Ekurhuleni South 2 Health sub-District;Phenduka Thokoza;279 Madondo Street;279 Madondo Street
Lindley Clinic;CLINIC;Free State Province;-27,881338;27,915887;RURAL;Facility Owner - Government - Local;Thabo Mofutsanyane District Municipality;Nketoana Local Municipality;LINDEY;28 PORTEIN STR LINDEY;28 PORTEIN STR LINDEY
Khutsong East Clinic;CLINIC;Gauteng Province;-26,31549;27,32437;RURAL;Facility Owner - Government - Local;West Rand District Municipality;Merafong City Local Municipality;Khutsong;2829 Tswana section;2829 Tswana Section
Tshepong (Kroonstad) Clinic;CLINIC;Free State Province;-27,638847;27,174082;URBAN;Facility Owner - Government - Prov;Fezile Dabi District Municipality;Moqhaka Local Municipality;GELUKWAARTS;2853 GELUKWAARTS RD KROONSTAD;2853 GELUKWAARTS RD
Brentpark Clinic;CLINIC;Free State Province;-27,66853;27,1937;RURAL;Facility Owner - Government - Prov;Fezile Dabi District Municipality;Moqhaka Local Municipality;Brentpark;29 Kreuling Street;
Meadowlands Zone 2 Prov Clinic;CLINIC;Gauteng Province;-26,219355;27,899035;URBAN;Facility Owner - Government - Local;City of Johannesburg Metropolitan;Johannesburg D Health sub-District;Soweto;293 Heckpoordt circle,Zone 2;293 Heckpoordt circle,Zone 2
Balgowan Clinic;CLINIC;KwaZulu-Natal Province;-29,39584;30,05722;RURAL;Facility Owner - Government - Prov;uMgungundlovu District Municipality;uMngeni Local Municipality;Longmarket Street,PMB;2nd floor,262 Brasfort house;R103 Old main road
Thembalethu Clinic;CLINIC;Free State Province;-30,212867;26,536054;RURAL;Facility Owner - Government - Prov;Xhariep District Municipality;Mohokare Local Municipality;smithfield;3 douglas street;
Roedtan Clinic;CLINIC;Limpopo Province;-24,5959;29,079663;URBAN;;Waterberg District Municipality;Mookgophong Local Municipality;ROEDTAN;3 RD AVE NO 95;
Isolomzi Clinic;CLINIC;Eastern Cape Province;-33,825409;25,375398;URBAN;Facility Owner - Government - Prov;Nelson Mandela Bay Municipality;Nelson Mandela B Health sub-District;Kwanobuhle;3 Zimasa Street;3 Zimasa Street
Wosiyane Clinic;CLINIC;KwaZulu-Natal Province;-29,555043;30,782637;RURAL;Facility Owner - Government - Prov;iLembe District Municipality;Ndwedwe Local Municipality;Ndwedwe;3023 5wosiyane;wosyane
Mathibestad Clinic;CLINIC;North West Province;-25,267339;28,152841;RURAL;Facility Owner - Government - Local;Bojanala Platinum District Municipality;Moretele Local Municipality;Hammanskraal;3042 Machidi Section, Hammanskraal;3042 Machidi Section
Memel Clinic;CLINIC;Free State Province;-27,677704;29,563683;RURAL;Facility Owner - Government - Local;Thabo Mofutsanyane District Municipality;Phumelela Local Municipality;memel;309 eeufees street;309 eeufees street
Rethabiseng Clinic;CLINIC;Gauteng Province;-25,723197;28,716972;RURAL;Facility Owner - Government - Prov;City of Tshwane Metropolitan Municipality;Tshwane 7 Health sub-District;Bronkhorspruit;310 Rethabiseng clinic;310 Matukane strret
Dr George Mukhari Hospital;CENTRAL HOSPITAL;Gauteng Province;-25,61904;28,01216;URBAN;Facility Owner - Government - Prov;City of Tshwane Metropolitan Municipality;Tshwane 1 Health sub-District;;3111 Setlogelo Drive, Ga-Rankuwa;
Protea South Clinic;CLINIC;Gauteng Province;-26,285585;27,840407;URBAN;Facility Owner - Government - Local;City of Johannesburg Metropolitan;Johannesburg G Health sub-District;Ennerdale;3115 Clark Street;3115 Clark Street
